,Title_of_Video,Published_date,Views,Likes
0,REAL SQL Problem (comment a better solution below),2022-01-18,3458,127
1,"Study With Me | Data Analytics, Data Science, or whatever you want",2022-01-12,3787,133
2,How to Become a Data Analyst (Updated for 2022),2022-01-09,28168,1404
3,"Study With Me | Data Analytics, Data Science, or whatever you want",2022-01-08,3972,153
4,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-12-31,2671,113
5,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-12-24,2516,108
6,Machine Learning for Beginners - Business Leaders and Analytics Professionals,2021-12-21,7885,371
7,Data Analyst MENTORSHIP -  Q&A (while I play Cyberpunk),2021-12-04,3320,98
8,Data Analyst MENTORSHIP -  Q&A (while in cook huevos rancheros),2021-12-03,1978,91
9,DataSpell - Overview and Initial Review,2021-12-02,3318,85
10,Exploratory Data Analysis (comment your best insight on the data),2021-11-25,53536,1818
11,Craft a WINNING Tech Resume,2021-11-21,3833,238
12,Data Analyst MENTORSHIP -  Q&A (while in my new apartment),2021-11-20,1891,64
13,Data Analyst MENTORSHIP -  Q&A (while drinking FREE coffee),2021-11-19,1874,111
14,Data Analyst MENTORSHIP -  Q&A (while moving to Seattle),2021-11-13,2167,94
15,Data Analyst MENTORSHIP - Q&A (while I prep for BBQ),2021-11-06,1157,45
16,Data Analyst MENTORSHIP - Q&A (while I prep for BBQ),2021-11-06,685,21
17,Get a Data Science or Data Analyst Role (feat. Nick Singh),2021-11-03,5743,311
18,Data Analyst MENTORSHIP - Q&A (while I drink boba),2021-10-30,1084,47
19,Data Analyst MENTORSHIP - Q&A (while I pack for a trip),2021-10-28,819,28
20,Practical Statistics for Data Scientists - Chapter 3 - Statistical Experiments Significance Testing,2021-10-27,6571,218
21,Data Analyst MENTORSHIP - Q&A (while I eat a taquito),2021-10-23,1363,63
22,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-22,1874,129
23,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-21,1098,31
24,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-15,1674,98
25,What is a DATA ANALYST | by a data analyst,2021-10-14,4771,378
26,Practical Statistics for Data Scientists - Chapter 2 - Data and Sampling Distributions,2021-10-10,8220,337
27,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-09,1606,76
28,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-08,1758,94
29,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-10-01,1995,79
30,Practical Statistics for Data Scientists - Chapter 1 - Exploratory Data Analysis,2021-09-28,271954,7359
31,Data Analyst MENTORSHIP -  Q&A (while I drink Pink Drink),2021-09-25,1190,64
32,Data Analyst Mentorship - Q&A,2021-09-24,1502,77
33,"Study With Me | Data Analytics, Data Science, or whatever you want",2021-09-21,6248,178
34,Data Analyst MENTORSHIP -  Q&A (while I drink Pink Drink),2021-09-18,1264,52
35,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-09-17,1511,75
36,Data Cleaning CHALLENGE (can you think of a better solution?),2021-09-14,109346,3076
37,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-09-11,943,47
38,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-09-10,1111,65
39,Hands on Machine Learning - Chapter 9 - Unsupervised Learning,2021-09-07,3089,90
40,Setting up my DATA SCIENCE Laptop,2021-09-06,4767,129
41,What is the best laptop for DATA ANALYSTS and what I got,2021-09-05,6895,187
42,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-09-04,944,55
43,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-09-03,1462,113
44,Making Money (as a data analyst) - Webscraping with ScraperAPI,2021-08-28,9491,459
45,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-08-27,1485,80
46,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-08-21,1187,45
47,Data Analyst MENTORSHIP -  Q&A (while I drink coffee),2021-08-20,1859,91
48,Hands on Machine Learning - Chapter 8 - Dimensionality Reduction,2021-08-19,2047,100
49,Drinks and Data - Trying out A Kaggle Competition,2021-08-15,3624,139
50,Hands on Machine Learning - Chapter 7 - Ensemble Learning and Random Forests,2021-08-15,1660,61
51,Data Analyst Interview Question 14 - Python #shorts,2021-08-14,18092,637
52,LIVE Ask a Data Analyst Q&A,2021-08-13,1483,120
53,LIVE Ask a Data Analyst Q&A (while I buy beer),2021-08-07,1399,84
54,Data Analyst Interview Question 13 - Python #shorts,2021-08-06,6477,270
55,Data Analyst Interview Question 12 #shorts,2021-08-04,5889,201
56,Hands on Machine Learning - Chapter 6 - Decision Trees,2021-08-04,2292,90
57,LIVECODING Performing a Sentiment Analysis (Part 2) and Data Analyst Q&A,2021-07-23,2843,92
58,What to do with MISSING DATA? Building an application,2021-07-18,1559,77
59,LIVECODING Performing a Sentiment Analysis and Data Analyst Q&A,2021-07-17,3239,158
60,Hands on Machine Learning - Chapter 5 - Support Vector Machines (SVM),2021-07-16,2054,56
61,LIVE Ask a Data Analyst Q&A,2021-07-10,1380,94
62,LIVE Ask a Data Analyst Q&A + Giveaway,2021-06-19,2733,98
63,Data Analyst Interview Question 11 - Python #shorts,2021-06-15,33529,1471
64,LIVE Ask a Data Analyst Q&A (while I drink coffee),2021-06-12,2280,101
65,Data Analyst Interview Question 10 - Python #shorts,2021-06-11,4536,132
66,Data Analyst Interview Question 9 - Python #shorts,2021-06-10,12651,448
67,Data Analyst Interview Question 8 - SQL #shorts,2021-06-09,4231,139
68,Data Analyst Interview Question 7 - Python #shorts,2021-06-08,3297,142
69,Day in the Life of a Data Analyst - Google Data Studio,2021-06-06,14171,710
70,Data Analyst Interview Question 6 - Python #shorts,2021-06-05,3389,108
71,Ask a Data Analyst Q&A (While I do the dishes),2021-06-05,2303,91
72,Data Analyst Interview Question 5 - SQL #shorts,2021-06-04,12031,213
73,WORK WITH ME LIVE (45 mins - 1 hour),2021-06-04,1823,51
74,Data Analyst Interview Question 4 - Python #shorts,2021-06-03,3784,71
75,Data Analyst Interview Question 3 - SQL #shorts,2021-06-01,3158,62
76,Data Analyst Interview Question 2 - Python,2021-06-01,7142,103
77,Data Analyst Interview Question 1 - SQL #shorts,2021-05-31,7436,144
78,Ask a Data Analyst - 10K Subscriber Q&A,2021-05-31,3809,284
79,Hands on Machine Learning - Chapter 4 - Training Models,2021-05-30,3024,106
80,Data Analyst Skills,2021-05-24,23096,986
81,Webscraping Instagram LIVECODING,2021-05-23,3578,160
82,SQL for Data Analysts and Data Scientists IN 1 HOUR,2021-05-21,101861,4904
83,Notion API + Discord with Python,2021-05-15,7358,169
84,Hands on Machine Learning - Chapter 3 - Classification,2021-05-09,6010,204
85,Hands on Machine Learning - Chapter 2 - Full Machine Learning Project,2021-05-04,35497,1117
86,Data Analyst - PyCaret to Enhance Your Machine Learning,2021-04-25,2755,125
87,Data Analyst - Python PCA Application w/ Streamlit,2021-04-12,11614,375
88,"Data Analyst Setup for Productivity (Python, R, SQL)",2021-04-04,23205,1090
89,Day in the Life of a Data Analyst - SurveyMonkey Data Transformation (Using R),2021-03-29,12843,386
90,Day in the Life of a Data Analyst - Bing Maps API,2021-03-22,13761,610
91,Python for Data Analysts and Data Scientists,2021-03-19,69151,3060
92,Day in the Life of a Data Analyst - SurveyMonkey Data Transformation,2021-02-08,1500315,33754
93,Tableau Beginner Course - From Nothing to Something,2020-05-06,30908,1169
